Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC124790591	18	0	27	10	20	0	0	0	0	0	19	0	19	8	17	0	0	0	0	0	6.25	13	0	0.041	-4.597	-4.255	2.08639792102877e-05	0.001485380713455	2.0239	0.8126	1.3006	1.3006	TRUE	0.1137
LOC124791362	72	66	126	156	110	201	219	374	537	126	77	72	87	117	94	244	227	313	384	285	190.02	89	291	3.083	1.624	7.59	3.20811517134853e-14	2.16778017273588e-11	0.0354	0.1731	0.0531	0.0531	TRUE	0.1888
LOC124791378	25	18	17	34	25	52	72	168	155	31	27	20	12	26	21	63	75	141	111	70	56.45	21	92	4.029	2.011	6.254	4.00199290817194e-10	1.15205195847854e-07	0.0898	0.2246	0.1143	0.1143	TRUE	0.1698
LOC124791394	1133	1317	1321	1303	1512	2201	2555	2791	5202	2645	1218	1443	908	978	1289	2670	2651	2337	3719	5982	2319.44	1167	3472	2.685	1.425	5.324	1.01333837404757e-07	1.72033676270999e-05	0.095	0.1532	0.1042	0.1042	TRUE	0.6494
LOC124791708	7	15	23	8	5	0	0	0	0	0	8	16	16	6	4	0	0	0	0	0	5	10	0	0.034	-4.885	-4.893	9.92454405425795e-07	0.000128843933692631	0.2971	0.977	0.5344	0.5344	TRUE	0.0322
LOC124794670	112	107	145	370	1084	70	39	43	144	10	120	117	100	278	924	85	40	36	103	23	182.62	308	57	0.323	-1.629	-3.663	0.000249669853486141	0.0100266398009558	0.6207	0.174	0.5107	0.5107	TRUE	1.7522
LOC124794714	47	12	42	60	21	104	104	192	50	26	51	13	29	45	18	126	108	161	36	59	64.48	31	98	2.012	1.008	3.368	0.000757375113194287	0.0223865206449079	0.2854	0.2155	0.2702	0.2702	TRUE	0.0714
LOC124794744	25	28	3	3	28	0	0	4	0	0	27	31	2	2	24	0	0	3	0	0	8.91	17	1	0.193	-2.373	-3.514	0.000441348410326611	0.0147957864545443	1.6609	0.615	1.2334	1.2334	TRUE	0.4043
LOC124794821	43	74	87	40	65	85	110	173	157	139	46	81	60	30	55	103	114	145	112	314	106.12	54	158	2.251	1.171	3.904	9.44921180329715e-05	0.00489384541574644	0.1663	0.1903	0.1709	0.1709	TRUE	2.5066
LOC124794839	0	3	11	10	3	10	7	23	29	15	0	3	8	8	3	12	7	19	21	34	11.42	4	19	2.02	1.014	3.168	0.00153393938885251	0.0365989646615945	0.3244	0.5131	0.3816	0.3816	TRUE	0.1688
