"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC126325688",158.591880120104,-2.89817877249989,0.376594625524849,-7.69575181393198,0.0000000000000140664610541158,0.00000000000110682953551529
"LOC126325710",1201.51321675191,-3.0798024680977,0.53335677946545,-5.77437577747561,0.00000000772388877706573,0.000000217946615697121
"LOC126325795",115.596288732627,-1.89884457887128,0.417690282104669,-4.54605879098583,0.00000546597743480921,0.0000911216819338048
"LOC126325790",22.7740237170886,-2.00365706821119,0.504460885937647,-3.97187794745864,0.0000713082547243761,0.00098883652321718
"LOC126325896",19.2890845457975,-3.17327955384752,0.515511366694153,-6.15559570334399,0.000000000747958112676287,0.0000000256842474103553
"LOC126325897",500.70547349416,-2.54465376652038,0.457330230811479,-5.56414948122976,0.0000000263434063076927,0.000000683142570352031
"LOC126325898",143.326637084004,-2.6907767995025,0.521953115786396,-5.15520784936491,0.000000253349752133856,0.00000558180173901312
"LOC126325963",269.740025191551,-2.19667976587418,0.563067086974644,-3.90127538385689,0.0000956872223443678,0.00128547614798239
"LOC126325966",52.8508597904368,-3.23055124221951,0.653278373489443,-4.94513728498884,0.000000760902219780047,0.000015408269950546
"LOC126325979",78.235152591381,-1.99022332251378,0.669833822285195,-2.97121951191412,0.00296619684821963,0.0269068054018342
"LOC126325977",59.9874590809297,-1.7273225079244,0.221620668592906,-7.79404971066715,0.00000000000000648949971985045,0.000000000000538315729773137
"LOC126325978",62.3126815315389,-2.18709824283904,0.318954594864215,-6.85708335310272,0.00000000000702806284918178,0.000000000349373377015282
"LOC126326095",56.8928974960467,-3.0018858717757,0.382170981996513,-7.85482418391224,0.00000000000000400333316504062,0.000000000000348898086598793
"LOC126326094",125.986490638621,-3.16258024050755,0.355582652838765,-8.89407909879561,0.000000000000000000589057291674091,0.0000000000000000954272812512027
"LOC126326096",209.626482984829,-2.31336180425215,0.409189817607107,-5.65351752343303,0.0000000157197076829114,0.000000426103099987577
"LOC126326103",49.3378716479028,-2.18949634784262,0.594368046998415,-3.68373831483653,0.000229838199307291,0.00282577857541196
"LOC126326104",13.8876488322447,-4.06364203938538,0.731654267295144,-5.55404679645794,0.0000000279130702084872,0.000000719780855376157
"LOC126326111",1312.14215105077,-2.81202527372546,0.27819926246763,-10.1079537335317,0.00000000000000000000000509370293357926,0.00000000000000000000167000689036634
"LOC126326110",91.3496749294057,-2.92903146604438,0.372805541648142,-7.85672727152975,0.0000000000000039430009811343,0.000000000000345828812167002
"LOC126326182",20.379907775508,-2.06150463381426,0.597580573037051,-3.44975176039808,0.000561102259498686,0.0062460615305553
"LOC126326360",31.3235947140555,-2.5567567319684,0.507640970383545,-5.03654527733775,0.00000047400902674078,0.0000099650447301077
"LOC126326352",2.81002329682517,-3.44820086433833,1.22909757412646,-2.80547365557125,0.00502426882935598,0.0421854766952633
"LOC126326356",4.43258616210466,-3.68203185567132,1.12365503399195,-3.27683474401422,0.00104977792193022,0.0109345249508163
"LOC126326365",40.7410438965487,-3.08201911918941,0.638053499210311,-4.83034592397642,0.00000136296048689617,0.0000257870046895317
"LOC126326344",112.008494788947,-2.9877572501349,0.596695764781135,-5.00717019707823,0.00000055236082537648,0.0000114376068653145
"LOC126326348",38.3369708567211,-2.17185771540036,0.360142619540004,-6.03054900354306,0.00000000163403611763894,0.0000000528184914081882
"LOC126326366",62.8239133430963,-2.49267349389046,0.447213461011035,-5.57378905423634,0.0000000249257530529817,0.000000651285805577909
"LOC126326364",162.899655711322,-2.94424111576243,0.360802436802695,-8.16025840028484,0.000000000000000334308620011081,0.0000000000000348744674057014
"LOC126326498",93.6812089323928,-3.46682227139124,0.722243788447919,-4.80007211808819,0.00000158608504019928,0.0000293948734906381
"LOC126326493",69.6503263331261,-2.92677901852668,0.387813122177369,-7.54687980152487,0.0000000000000445809675257649,0.00000000000323094696226201
"LOC126326500",19.0490379455884,-3.00606460373835,0.670984633109281,-4.48007965519049,0.00000746151879617446,0.000121817557646239
"LOC126326499",208.140400150197,-1.93192383661012,0.311237929108783,-6.20722494248083,0.000000000539283820163644,0.0000000189921693188066
"LOC126326656",151.235476128477,-2.33329208067631,0.567122364443644,-4.11426568050319,0.0000388413878411503,0.000564183449971139
"LOC126326652",69.1920169653928,-1.51776859140981,0.259026118090346,-5.85951950559837,0.0000000046420836125389,0.000000138658332634839
"LOC126326653",23.4812093523139,-3.4107375875064,0.782485049635541,-4.35885335968403,0.0000130745680473588,0.00020528711745967
"LOC126326644",78.1620732618473,-2.93045758471939,0.35224812897762,-8.31929922019707,0.0000000000000000884849095668147,0.00000000000000998719020274622
"LOC126326651",30.7502940886221,-2.42917340890187,0.855676586961294,-2.83889199017169,0.00452704776748246,0.0384799060236009
"LOC126326664",45.0970876785191,-2.63568204881294,0.685827302089426,-3.84306959023523,0.000121504997366071,0.00159042187616996
"LOC126326666",3.73291661085353,-2.55564064896645,0.895965959123989,-2.85238587799158,0.0043392390224123,0.0370435966141459
"LOC126326682",71.7924234830157,-2.16634011942241,0.439121410514057,-4.93335115882048,0.000000808306426197463,0.0000162963096467629
"LOC126326681",479.378059055329,-2.82919827590519,0.469131370807202,-6.03071645163525,0.00000000163234375239179,0.0000000528184914081882
"LOC126326699",450.239683292918,-2.60333164796456,0.482937920615908,-5.39061344498364,0.0000000702175713675109,0.00000170228161572293
"LOC126326997",783.505268140693,-2.75903636369401,0.369940262607279,-7.45805915865649,0.0000000000000878062471680107,0.00000000000613752296194674
"LOC126326994",351.439213183322,-2.13382061025361,0.235956854916153,-9.04326602849434,0.000000000000000000152059238314391,0.0000000000000000279180761545221
"LOC126326991",141.39049970551,-1.6356219215437,0.343825111725373,-4.7571333964988,0.00000196361418329377,0.0000357658297671365
"LOC126327034",52.3018836095286,-2.94491411050392,0.486873537310474,-6.04862224957192,0.00000000146089746670596,0.0000000478965669441454
"LOC126327029",19.3338532871911,-2.33415488863041,0.533409910852643,-4.37591211025555,0.0000120925735881114,0.000190957268702173
"LOC126327030",20.2198881999258,-2.13185718600329,0.388482562993397,-5.48765218592199,0.0000000407311060711854,0.00000102722954322385
"LOC126327033",206.381941463316,-3.32869258403367,0.636352781910887,-5.23089185536051,0.000000168694180551064,0.00000383953531601347
"LOC126327056",84.3205716119812,-3.25961411261789,0.895257652802996,-3.64097877567675,0.000271603528572741,0.00328356504692418
"LOC126327065",53.2736744143389,-1.70080082435781,0.482137122137964,-3.52762885549212,0.000419299622524261,0.00483969472100509
"LOC126327097",125.653205732603,-2.61072329617688,0.354461399881397,-7.36532467865454,0.000000000000176716234002656,0.0000000000119044848562203
"LOC126327096",79.5687755362931,-3.44388736156105,0.551909740749617,-6.23994669288402,0.000000000437720037360431,0.0000000157373496460917
"LOC126327136",701.678037215321,-2.93783552191145,0.257945839918376,-11.3893502715186,4.72499756053379e-30,3.82724802403237e-27
"LOC126327142",32.8358713291528,-2.51671366307448,0.556000841265061,-4.52645657396532,0.00000599809178769391,0.0000996305475470991
"LOC126327149",2160.364805192,-3.28535823113125,0.700325333166238,-4.69118861697866,0.00000271622418488392,0.0000480133594683588
"LOC126327147",259.684194597131,-1.93726813996089,0.376227998471846,-5.14918652473935,0.000000261618616177896,0.00000573644640886883
"LOC126327161",26.0001451421044,-4.47311089570312,0.576543086160111,-7.75850236188749,0.00000000000000859381438761738,0.000000000000688004791380764
"LOC126327160",119.680715704505,-2.69934685174383,0.317049857523757,-8.51395068531631,0.0000000000000000168105531359108,0.00000000000000214334552482862
"LOC126327218",713.20702645563,-2.25126542665555,0.533866032428947,-4.21691077893249,0.0000247671910740769,0.000371913000098189
"LOC126327250",5.63269557920458,-3.58932469656828,1.05436057911777,-3.4042667827847,0.000663419244841793,0.00729655191810822
"LOC126327274",418.741771156341,-2.20106096455863,0.234181388933877,-9.39895768224397,0.00000000000000000000551062457199497,0.00000000000000000128612373485374
"LOC126327276",47.5600068295738,-4.96738175977003,0.977986537023878,-5.07919237302215,0.000000379042747739098,0.00000802987482518059
