Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
LOC126267478	1179	3273	2206	3525	1378	1703	7712	6390	20273	2055	1343	3768	1602	2831	1250	2174	8426	5772	15624	4830	4761.97	2159	7365	3.412	1.771	0.000289702571305712	0.0169513298235473	0.2701	0.2013
LOC126267547	33	19	71	165	157	71	69	151	363	893	38	22	52	132	142	91	75	136	280	2099	306.7	77	536	6.913	2.789	0.000289714608206362	0.0169513298235473	0.6178	0.1262
LOC126267627	43	97	50	121	39	114	163	316	70	224	49	112	36	97	35	146	178	285	54	526	151.9	66	238	3.593	1.845	0.000288024223028033	0.0169513298235473	0.2835	0.16
LOC126365833	2798	4771	2977	4463	3127	5441	4049	13096	14391	5203	3188	5493	2162	3584	2836	6945	4424	11829	11091	12229	6378.04	3453	9304	2.695	1.43	0.000289062134880126	0.0169513298235473	0.1796	0.2103
LOC126291991	70	80	93	92	69	181	306	129	171	52	80	92	68	74	63	231	334	117	132	122	131.17	75	187	2.495	1.319	0.000299915368850894	0.0174522917472048	0.1462	0.1695
LOC126355798	1663	2513	3707	4998	3420	3356	2907	6456	6180	29368	1895	2893	2692	4013	3102	4284	3176	5832	4763	69026	10167.5	2919	17416	5.966	2.577	0.000311523842673499	0.0180348341535442	0.5458	0.2235
LOC126282159	22	22	43	60	38	41	62	96	114	66	25	25	31	48	34	52	68	87	88	155	61.4	33	90	2.691	1.428	0.000325661710055318	0.0187571175755841	0.1639	0.2186
LOC126266796	116	112	219	155	275	194	140	366	404	1017	132	129	159	124	249	248	153	331	311	2390	422.69	159	687	4.309	2.107	0.000333505327277392	0.0191113788813933	0.3789	0.1241
LOC126293537	10	22	6	25	20	12	110	53	107	17	11	25	4	20	18	15	120	48	82	40	38.51	16	61	3.883	1.957	0.000371008517223944	0.0210468098037242	0.3085	0.2339
LOC126284129	94	172	168	262	222	204	212	309	434	851	107	198	122	210	201	260	232	279	334	2000	394.46	168	621	3.689	1.883	0.000373848279553197	0.0211018661393802	0.3117	0.1239
LOC126284748	95	427	797	898	591	245	436	1846	1654	5035	108	492	579	721	536	313	476	1667	1275	11834	1800.11	487	3113	6.385	2.675	0.000378848243066528	0.0212499546731751	0.5998	0.1669
LOC126355146	359	538	621	521	560	589	729	1160	932	1254	409	619	451	418	508	752	797	1048	718	2947	866.74	481	1252	2.599	1.378	0.000380236588181536	0.0212499546731751	0.1727	0.1403
LOC126334681	25	29	69	126	69	45	45	178	239	370	28	33	50	101	63	57	49	161	184	870	159.7	55	264	4.748	2.247	0.000384609614535059	0.021388462751164	0.4313	0.1571
LOC126273131	284	249	420	172	255	304	313	795	522	917	324	287	305	138	231	388	342	718	402	2155	529.03	257	801	3.111	1.637	0.000390298523012099	0.0215984315013901	0.2409	0.1268
LOC126332098	1512	913	188	1137	569	594	13060	1122	6359	1242	1723	1051	137	913	516	758	14269	1013	4901	2919	2820.03	868	4772	5.499	2.459	0.000407098821528372	0.022201635730598	0.5215	0.1837
