Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
LOC124789546	21	23	47	20	44	57	60	87	95	29	24	27	34	16	40	74	66	78	73	68	49.88	28	72	2.54	1.345	0.000452963095458635	0.019865667186543	0.1487	0.252
LOC124789548	50	38	58	47	66	91	87	119	121	71	57	44	42	37	60	117	96	106	93	166	81.91	48	116	2.388	1.256	0.000414110305197555	0.0187792675072261	0.1333	0.2297
LOC124789584	131	104	175	96	93	19	18	82	43	13	150	121	127	77	84	25	20	73	33	30	73.97	112	36	0.329	-1.606	0.000197539302552179	0.0107019822147386	0.1961	0.2355
LOC124789606	660	151	191	507	1479	68	177	92	192	21	754	176	139	404	1334	88	194	82	148	49	336.88	561	112	0.201	-2.314	1.63161000559005e-05	0.00154124391297276	0.3104	0.1287
LOC124789613	743	46	159	487	1403	28	97	202	90	26	849	54	116	388	1266	36	107	181	69	61	312.53	535	91	0.17	-2.553	6.77732417220325e-05	0.00462364115748088	0.435	0.1296
LOC124789632	166	193	291	382	422	91	115	111	142	37	190	225	212	304	381	117	126	99	109	86	185.04	262	107	0.412	-1.279	3.68137347943124e-05	0.00296982041566964	0.1052	0.1556
LOC124789650	28	176	1101	374	128	0	0	2	0	0	32	205	802	298	115	0	0	2	0	0	145.4	290	0	0.002	-9.033	2.40100461682704e-20	2.41235482047022e-17	0.4537	0.1758
LOC124789667	1208	1007	2418	1686	1025	2137	2626	3062	5041	3738	1380	1173	1760	1344	925	2756	2886	2737	3886	8730	2757.69	1316	4199	3.188	1.673	2.13596795033581e-05	0.00191924534854564	0.176	0.1867
LOC124789669	7	13	11	7	8	27	28	22	21	17	8	15	8	6	7	35	31	20	16	40	18.51	9	28	3.161	1.661	0.000271944259893868	0.0139144812979029	0.1729	0.2429
LOC124789687	263	165	351	333	256	310	281	571	658	348	300	192	256	265	231	400	309	510	507	813	378.35	249	508	2.034	1.024	0.00076902529975541	0.0303545271889171	0.1061	0.1286
