Id	SPICE_S_Iso_SRR11815195	SPICE_S_Iso_SRR11815196	SPICE_S_Iso_SRR11815207	SPICE_S_Iso_SRR11815218	SPICE_S_Iso_SRR11815229	SPICE_G_Crd_SRR11815262	SPICE_G_Crd_SRR11815264	SPICE_G_Crd_SRR11815265	SPICE_G_Crd_SRR11815266	SPICE_G_Crd_SRR11815267	norm.SPICE_S_Iso_SRR11815195	norm.SPICE_S_Iso_SRR11815196	norm.SPICE_S_Iso_SRR11815207	norm.SPICE_S_Iso_SRR11815218	norm.SPICE_S_Iso_SRR11815229	norm.SPICE_G_Crd_SRR11815262	norm.SPICE_G_Crd_SRR11815264	norm.SPICE_G_Crd_SRR11815265	norm.SPICE_G_Crd_SRR11815266	norm.SPICE_G_Crd_SRR11815267	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126292134	98	87	223	228	231	154	245	467	587	522	127	113	160	147	210	204	297	383	702	427	277.1	151	403	2.177	1.122	4.663	3.11051085728451e-06	0.000109174952281619	0.1266	0.0576	0.1051	0.1051	TRUE	0.2983
LOC126292150	12	8	27	21	21	34	43	50	30	42	16	10	19	14	19	45	52	41	36	34	28.65	16	42	2.188	1.13	4.809	1.51906818234764e-06	6.14240251146119e-05	0	0.1725	0.0584	0.0584	TRUE	0.141
LOC126292204	7	11	18	25	19	29	50	57	50	46	9	14	13	16	17	38	61	47	60	38	31.3	14	49	3.178	1.668	5.932	2.99952334304495e-09	3.37262194834651e-07	0	0.1616	0.0638	0.0638	TRUE	0.0556
LOC126292309	71	62	163	163	108	119	169	276	240	316	92	81	117	105	98	158	205	226	287	259	162.78	99	227	2.076	1.053	6.139	8.28876819944999e-10	1.1067232372974e-07	0.0288	0.0669	0.0384	0.0384	TRUE	0.129
LOC126293182	20	37	80	94	123	14	6	5	2	5	26	48	58	60	112	19	7	4	2	4	34.02	61	7	0.141	-2.823	-5.933	2.97263233815186e-09	3.37196471773722e-07	0.3149	0.1522	0.2488	0.2488	TRUE	0.5548
LOC126293283	6	10	6	23	17	40	52	64	62	73	8	13	4	15	15	53	63	52	74	60	35.79	11	60	5.065	2.341	7.387	1.50672363475579e-13	4.02357990631243e-11	0.0257	0.1469	0.0808	0.0808	TRUE	0.6739
LOC126293287	871	667	1986	2614	2063	1581	3993	3489	5931	3541	1130	869	1428	1682	1873	2094	4846	2861	7096	2897	2677.68	1396	3959	2.33	1.22	4.678	2.89024947339834e-06	0.000104653157485932	0.1727	0.0458	0.1235	0.1235	TRUE	0.2671
LOC126293387	5	4	1	6	1	3	57	18	78	103	6	5	1	4	1	4	69	15	93	84	28.27	3	53	10.059	3.33	5.173	2.29956937837225e-07	1.46646170606843e-05	0.831	0.1742	0.5694	0.5694	TRUE	0.044
LOC126293406	59	21	91	52	81	85	150	161	328	173	77	27	65	33	74	113	182	132	392	142	123.7	55	192	2.839	1.505	4.599	4.25508523128975e-06	0.000137039403252945	0.2224	0.0741	0.1719	0.1719	TRUE	1.4937
LOC126293423	3	11	11	3	7	1	10	87	60	110	4	14	8	2	6	1	12	71	72	90	28.1	7	49	3.455	1.789	3.716	0.000202495393208177	0.00264855709198205	0.9194	0.175	0.6346	0.6346	TRUE	0.0621
